Date,Open,High,Low,Close,Volume
2007/3/21,3042.1,3057.71,3020.95,3057.38,991901.27
2007/3/22,3080.6,3099.82,3059.38,3071.23,1260655.45
2007/3/23,3071.81,3085.32,3008.15,3074.29,1186864.17
2007/3/26,3083.94,3123.18,3069.47,3122.81,1226605.37
2007/3/27,3126.03,3145.04,3103.78,3138.83,1245789.31
2007/3/28,3140.68,3180.33,3052.08,3173.02,1672679.39
2007/3/29,3179.8,3273.73,3176.53,3197.54,1495396.61
2007/3/30,3178.5,3212.39,3157.03,3183.98,894240.06
2007/4/2,3196.59,3253.44,3196.59,3252.6,973504.46
2007/4/3,3265.68,3292.58,3251.52,3291.3,1086013.91
2007/4/4,3295.98,3308.15,3266.56,3291.54,1126161.07
2007/4/5,3286.16,3326.92,3259.63,3319.14,1145280.51
2007/4/6,3287.68,3334.22,3273.86,3323.59,1196448.81
2007/4/9,3333.42,3399.52,3333.26,3398.95,1373141.04
2007/4/10,3405.23,3444.37,3351.11,3444.29,1478072.84
2007/4/11,3454.42,3497.52,3428.78,3495.22,1475721.14
2007/4/12,3503.23,3532.86,3488.08,3531.03,1353898.79
2007/4/13,3537.22,3563.86,3504.16,3518.27,1506958.76
2007/4/16,3523.22,3597.22,3523.22,3596.44,1310391.01
2007/4/17,3611.63,3622.89,3510.5,3611.87,1606606.46
2007/4/18,3614.68,3623.87,3564.23,3612.4,1504854.24
2007/4/19,3610.02,3617.44,3358.93,3449.02,1727255.41
2007/4/20,3460.9,3591.46,3460.9,3584.2,1388892.92
2007/4/23,3615.79,3710.89,3615.79,3710.89,1634981.16
2007/4/24,3736.15,3762.39,3689.13,3720.53,1743893.41
2007/4/25,3708.57,3769.25,3653.99,3743.96,1517630.61
2007/4/26,3766.48,3784.68,3732.6,3783.06,1172569.68
2007/4/27,3788.75,3802.92,3720.6,3759.87,1321754.56
2007/4/30,3784.27,3851.35,3759.48,3841.27,1465257.13
2007/5/8,3937.94,3964.71,3901.33,3950.01,1605682
2007/5/9,3961.1,4015.22,3875.38,4013.09,2083974.49
2007/5/10,4021.42,4072.14,3991.48,4049.7,1711139.4
2007/5/11,4024.42,4039.67,3949.37,4021.68,1406382.1
2007/5/14,3970.66,4081.43,3940.36,4046.39,1393262.21
2007/5/15,4055.83,4069.85,3891.36,3899.18,1566775.53
2007/5/16,3890.81,3987.41,3845.23,3986.04,1317197.74
2007/5/17,4002.49,4064.28,3983,4048.29,1392779.88
2007/5/18,4041.39,4052.1,3999.17,4030.26,1307562.74
2007/5/21,3902.35,4083.42,3892.98,4072.23,1561710.62
2007/5/22,4091.14,4136.63,4086.83,4110.38,1735620.9
2007/5/23,4125.43,4175.44,4093.92,4173.71,1613994.78
2007/5/24,4188.68,4208.39,4089.39,4151.13,1809843.88
2007/5/25,4133.19,4190.47,4111.26,4179.78,1541928.6
2007/5/28,4221.58,4283.93,4215.24,4272.11,1786151.68
2007/5/29,4288.98,4335.96,4262.02,4334.92,1720976.42
2007/5/30,4087.41,4275.24,4015.51,4053.09,1855967.29
2007/5/31,4006.28,4178.11,3858.04,4109.65,1731153.12
2007/6/1,4120.63,4181.28,3966.98,4000.74,1609349.85
2007/6/4,3981.82,3987.27,3659.09,3670.4,1148593.57
2007/6/5,3564.43,3768.56,3404.15,3767.1,1571379.59
2007/6/6,3781.38,3821.7,3682.79,3776.32,1458738.52
2007/6/7,3787.7,3891.4,3779.5,3890.8,1423664.75
2007/6/8,3900.03,3935.79,3852.05,3913.14,1358771.92
2007/6/11,3942.01,4000.42,3930.74,3995.68,1338427.39
2007/6/12,4011.68,4073.18,3910,4072.14,1494723.98
2007/6/13,4110.74,4193.45,4102.04,4176.48,1669484.99
2007/6/14,4162.21,4179.73,4085.79,4115.21,1383856.04
2007/6/15,4085.66,4152.54,4067.36,4132.87,1086655.32
2007/6/18,4195.39,4267.74,4193.31,4253.35,1289777.48
2007/6/19,4247.75,4280.85,4209.58,4269.52,1245818.14
2007/6/20,4269.46,4312,4164.28,4181.32,1352127.75
2007/6/21,4170.89,4256.54,4147.05,4230.82,1129198.56
2007/6/22,4230.97,4249.43,4024.49,4091.45,1196920.37
2007/6/25,4102.79,4131.13,3912.42,3941.08,1016066.55
2007/6/26,3863.25,3976.19,3818.85,3973.37,938174.69
2007/6/27,3985.72,4090.72,3948.29,4078.6,951134.81
2007/6/28,4080.19,4113.28,3912.81,3914.2,978316.1
2007/6/29,3824.29,3919.35,3779.81,3820.7,860999.85
2007/7/2,3800.23,3859.86,3724.19,3836.29,742540.6
2007/7/3,3854.72,3906.76,3821.46,3899.72,697492.17
2007/7/4,3906.01,3916.48,3800.28,3816.17,564747.77
2007/7/5,3769.64,3778.4,3614.53,3615.87,634059.36
2007/7/6,3599.82,3785.35,3563.54,3781.35,807372.41
2007/7/9,3809.67,3900.9,3782.73,3883.22,834805.39
2007/7/10,3895.91,3929.42,3841.8,3853.02,765633.34
2007/7/11,3837.8,3879.29,3812.14,3865.72,513538.8
2007/7/12,3874.04,3925.6,3861.04,3915.99,551583.63
2007/7/13,3920.83,3935.51,3878.18,3914.4,460244.71
2007/7/16,3920.65,3931.87,3820.57,3821.92,476152.8
2007/7/17,3809.56,3919.78,3767.22,3896.19,487122.23
2007/7/18,3880.85,3971.61,3861.91,3930.06,628718.34
2007/7/19,3918.54,3947.33,3887.59,3912.94,487375.95
2007/7/20,3918.41,4062.12,3918.41,4058.85,831106.46
2007/7/23,4091.24,4220.32,4091.24,4213.36,1216689.64
2007/7/24,4238.32,4284.83,4192.72,4210.33,1109892.52
2007/7/25,4212.95,4325.38,4212.23,4323.97,939500.43
2007/7/26,4347.78,4371.51,4304.19,4346.46,992106.69
2007/7/27,4315.37,4357.34,4268.79,4345.36,1002458.13
2007/7/30,4348.61,4450.19,4345.79,4440.77,1125897.68
2007/7/31,4432.27,4476.63,4379.2,4471.03,1085614.1
2007/8/1,4488.77,4502.3,4284.87,4300.56,1262928.74
2007/8/2,4316.57,4431.85,4290.81,4407.73,982785.78
2007/8/3,4440.98,4562.69,4438.96,4560.77,1151166.72
2007/8/6,4600.12,4629.97,4564.31,4628.11,1117079.79
